trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",35,0,-90.11839619230199,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,13,-9.923693616386991,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,0,-169.27073773598656,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-69.81781656447917,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-68.6764708908783,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,12,-22.695902654713983,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-42.60835252112184,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",30,8,-88.72567152293293,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,6,-65.18246870873568,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",20,0,-142.79199855733344,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,12,-101.3240986752855,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-64.5967090692873,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,20,6.339804023428389,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,0,-167.36577936050475,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,15,-3.2832854832959115,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",30,9,-67.10253480443471,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,0,-86.06885661294689,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,22,-36.506826160147384,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,3,-51.111277915991174,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",30,6,-127.00561401706778,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",30,8,-3.2809241543776313,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-70.62998482159368,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,2,-28.281299100007715,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
